編號,法條,TextID,Sentence,犯罪後之態度,犯罪之手段與所生損害,被害人的態度,被告之品行,其他審酌事項,有利,中性,不利
44,第221條第1項,04701833c7,非但有損人倫分際,0,0,0,0,1,0,1,0
45,第221條第1項,04701833c7,"暨
    其國中畢業學歷，職業為服務業及家境小康之生活狀況【詳
    警詢筆錄內受詢問人基本資料欄內職業欄及家庭經濟狀況欄
    等之記載，見少侵訴卷第99頁】等一切情狀，量處如主文所
    示之刑。",0,0,0,0,1,0,1,0
46,第221條第1項,04701833c7,"竟
    不思對於被害人A女加以愛護，為滿足一己性慾，對A女施加
    恫嚇，對其實行強制性交行為，",0,0,0,0,1,0,1,0
47,第221條第1項,04701833c7,考量於犯後坦認犯行，已見悔意，,1,0,0,0,0,1,0,0
48,第221條第1項,04701833c7,"是被告與A女
    具2親等之旁系血親關係，其等具有家庭暴力防治法第3條第
    4款之家庭成員關係。",0,0,0,0,1,0,1,0
49,第221條第1項,04701833c7,爰以行為人責任為基礎，審酌被告與A女間具兄妹關係,0,0,0,0,1,0,1,0
50,第221條第1項,04701833c7,"，更影響
    A女身心健全發展，使A女因而罹患憂鬱症，造成被害人身心
    俱創，所為應予重罰，",0,0,1,0,0,0,0,1
51,第221條第1項,052feb771c,"然其於前
    案假釋付保護管束期間，猶不知改過遷善，而再度違反A 女
    之意願，對A 女為強制性交行為，所為不僅蔑視法律之誡命
    ，亦嚴重侵害A 女之性自主決定權及身體自主權，",0,0,0,0,1,0,0,1
52,第221條第1項,052feb771c,"及被告犯罪之
    動機、目的、手段、所生危害、自稱教育程度國中肄業、曾
    從事電腦沖床、現擔任粗工、日薪新臺幣1,000 元、單親家
    庭與祖母同住、家中經濟由父親負擔、祖母具有輕度身心障
    礙證明（本院卷第5 、26、40頁）等一切情狀，量處如主文
    所示之刑。",0,0,0,0,1,0,1,0
53,第221條第1項,052feb771c,"且該案之犯罪手法與本件相似，此有該案判決
    及臺灣高等法院被告前案紀錄表各1 份在卷可稽，",0,0,0,1,0,0,1,0
54,第221條第1項,052feb771c,"而被告雖
    有意願與A 女及A 父洽談和解（見本院卷第22頁），然A 父
    表示不須和解等語（見本院卷第18頁），足見被告犯後並未
    取得A 女、A 父之諒解，",0,0,1,0,0,0,0,1
55,第221條第1項,052feb771c,"A 女並表示：發生這件事後，只要
    不認識或不熟之男生靠近伊，伊就會覺得害怕，覺得全身不
    對勁，伊只要想到這件事，伊就覺得不舒服等語（見他卷第
    8 頁、偵29555 號卷第50頁反面），顯見被告所為對A 女之
    身心傷害極大，實應予以嚴重非難",0,0,1,0,0,0,0,1
56,第221條第1項,064f37e8e3,"原審酌被告案發時擔任議員助理，其提供選民服務，自應恪
    守職責，謹守男女分際，",0,0,0,0,1,0,1,0
57,第221條第1項,064f37e8e3,"、自稱國中
    畢業、已婚、月領約1 萬8,000 元之退休金之智識程度、家
    庭、經濟狀況等一切情狀，量處如主文所示之刑。",0,0,0,0,1,0,1,0
58,第221條第1項,064f37e8e3,"又
    被告犯後否認犯行，未向Ａ女表示歉意，",1,0,0,0,0,0,0,1
59,第221條第1項,064f37e8e3,"亦未與Ａ女達成和
    解之犯後態度，",1,0,0,0,0,0,0,1
60,第221條第1項,064f37e8e3,Ａ女因而心靈受創，經鑑定受有創傷後壓力症候群，,0,1,0,0,0,0,0,1
61,第221條第1項,064f37e8e3,"然被告卻利用替Ａ女處理房屋糾紛
    而與Ａ女碰面之機會，對Ａ女以手指插入陰道之強制性交行
    為，",0,0,0,0,1,0,1,0
62,第221條第1項,064f37e8e3,另考量被告前無刑事前科之素行,0,0,0,1,0,1,0,0
63,第221條第1項,07bc4696db,"暨被告自
    稱中台大學畢業之智識程度、現從事餐飲業之家庭經濟狀況
    等一切情狀，量處如主文所示之刑，以示懲儆。",0,0,0,0,1,0,1,0
64,第221條第1項,07bc4696db,"爰以行為人之責任為基礎，審酌被告不尊重女性身體與性自
    主權利，其心態、犯罪手段顯屬可議，",0,0,0,0,1,0,0,1
65,第221條第1項,07bc4696db,"復考量被告已坦承犯
    行，犯後態度尚稱良好，",1,0,0,0,0,1,0,0
66,第221條第1項,07bc4696db,"復考量其對告訴人甲
    女強制性交，使告訴人身心受創，所生危害非輕，",0,1,0,0,0,0,0,1
67,第221條第1項,07bc4696db,"惟兼衡被
    告前無不良前科紀錄，素行尚稱良好，",0,0,0,1,0,1,0,0
68,第221條第1項,07bc4696db,且已與告訴人達成和解，,0,0,1,0,0,1,0,0
69,第221條第1項,084ae62543,"兼衡被告小學畢業之智識程度，已離婚，無
    須扶養父母或子女、先前從事油漆工，每月約收入約新臺幣
    4至5萬元之經濟、生活狀況（見本院卷第111頁反面）及素
    行等一切情狀，量處如主文所示之刑。",0,0,0,0,1,0,1,0
70,第221條第1項,084ae62543,"爰以行為人之責任為基礎，審酌被告為逞一己私慾，即以上
    揭強暴、恐嚇方式對告訴人甲女為強制性交犯行，未能尊重
    告訴人甲女對其身體之自主決定權，其犯罪動機、目的殊值
    非難，",0,0,0,0,1,0,0,1
71,第221條第1項,084ae62543,"兼衡被告犯罪後坦
    承犯行，態度尚可，",1,0,0,0,0,1,0,0
72,第221條第1項,084ae62543,更造成告訴人甲女身心均受創傷；,0,1,0,0,0,0,1,0
73,第221條第1項,084ae62543,"然未與告訴人甲女成立和解，求得告訴
    人甲女之原諒，",0,0,1,0,0,1,0,0
74,第221條第1項,0c2c136f8b,"併參酌
      被告之智識程度、",0,0,0,0,1,0,1,0
75,第221條第1項,0c2c136f8b,"被
      告卻為滿足一己性慾，不顧甲○之反對，以強暴之方式對
      甲○為性交行為，",0,0,0,0,1,0,0,1
76,第221條第1項,0c2c136f8b,"被告犯罪之動機、
      目的、",0,0,0,0,1,0,1,0
77,第221條第1項,0c2c136f8b,"不僅未為下屬表率，反而
      於審理過程中，一再指責甲○係有目的性與其接觸、為了
      升職未成，始挾怨報復提起本件告訴，所為非是，",1,0,0,0,0,0,0,1
78,第221條第1項,0c2c136f8b,"不尊重甲○之性自主決定權，對甲○無
      論身體與心理均遭受極大痛楚，",0,1,0,0,0,0,0,1
79,第221條第1項,0c2c136f8b,"所實施強制手段等一切情狀，量處如主文所示之刑
      ，以資懲戒。",0,1,0,0,0,0,1,0
80,第221條第1項,0c2c136f8b,"爰以行為人責任為基礎，審酌被告與甲○為公司上司下屬
      關係，甲○既信任被告與被告間則為亦師亦友之關係，",0,0,0,0,1,0,1,0
81,第221條第1項,0c2c136f8b,迄今未與甲○達成和解並獲得宥恕,0,0,1,0,0,0,1,0
82,第221條第1項,0c2c136f8b,甲      ○於本院審理期日所陳述之量刑意見、,0,0,1,0,0,0,1,0
83,第221條第1項,0c61c30fb2,"暨被告供述為進修部大學在
    學中、擔任整復師之工作、已婚、有3 名子女、目前與配偶
    一同扶養母親及2 名未成年之子女、家庭經濟狀況尚可（見
    本院卷第72頁反面）等一切情狀，量處如主文所示之刑。",0,0,0,0,1,0,1,0
84,第221條第1項,0c61c30fb2,"竟不知潔身自愛，未能克制一己私慾及尊
    重A 女之性自主權",0,0,0,0,1,0,1,0
85,第221條第1項,0c61c30fb2,並考量被告於犯後矢口否認之態度，,1,0,0,0,0,0,0,1
86,第221條第1項,0c61c30fb2,"利用A 女相信被告之專業心理，於治療
    過程中對A 女為性交行為，造成A 女身體及心理難以抹滅之
    莫大傷害；",0,1,0,0,0,0,0,1
87,第221條第1項,0c61c30fb2,"爰審酌被告雖無有罪判刑之前科，有臺灣高等法院被告前案
    紀錄表在卷可參，",0,0,0,1,0,0,1,0
88,第221條第1項,0c61c30fb2,"且因A 女無
    意願，致迄今未能與A 女和解，",0,0,1,0,0,0,0,1
89,第221條第1項,0c9f3ebb0b,"兼衡其高中畢業之智識程度，已
    婚、有1名16歲之子女、無需扶養父母親、目前從事餐飲工
    作，月薪新臺幣2萬7,000元之家庭經濟狀況（見本院卷第
    168頁）等一切情狀，量處如主文所示之刑，以示懲儆。",0,0,0,0,1,0,1,0
90,第221條第1項,0c9f3ebb0b,"於知悉甲女心情低
    落時，假意安慰甲女，以逞其個人之私欲，心態可議，",0,0,0,0,1,0,0,1
91,第221條第1項,0c9f3ebb0b,"是被告對甲女為強制性交前，雖有親吻甲女胸部、舔舐甲
    女下體等具有滿足自己性慾之猥褻行為，",0,0,0,0,1,0,1,0
92,第221條第1項,0c9f3ebb0b,"暨其矢口否認犯行，並誣指甲女挾怨
    報復之意，犯後態度不佳，",1,0,0,0,0,0,0,1
93,第221條第1項,0c9f3ebb0b,"且為
    滿足自身之欲望，漠視甲女性自主決定權而為前揭強制性交
    犯行，造成甲女身心極大傷害，所生危害甚鉅，恐造成甲女
    無法抹滅之心理創傷，",0,1,0,0,0,0,0,1
94,第221條第1項,0c9f3ebb0b,爰審酌被告與甲女為相識2年餘之網友，,0,0,0,0,1,0,1,0
95,第221條第1項,10c7836536,"衡被告自陳之智識程度及生活
    狀況（見本院卷第94頁背面）、犯罪動機、目的、手段、品
    行等一切情狀，量處如主文所示之刑，以資懲儆。",0,0,0,0,1,0,1,0
96,第221條第1項,10c7836536,"爰以行為人之責任為基礎，審酌被告認識A女為滿足一己私
    慾，",0,0,0,0,1,0,1,0
97,第221條第1項,10c7836536,"另參酌被告犯後未見任何反省之意，難認態度良
    好，",1,0,0,0,0,0,0,1
98,第221條第1項,10c7836536,"無視A女之性自主決定權，以事實欄所示之強暴方式對A
    女為強制性交行為，已造成A女身心受到重創，實不可取，",0,1,0,0,0,0,0,1
99,第221條第1項,10c7836536,"以及A女於本院審理時當庭表示請求法院從重量刑（見
    本院卷第35頁背面）等情，",0,0,1,0,0,0,0,1
100,第221條第1項,11508221a3," 另考量其自述其於入監服刑前係做廣告拍攝、攝影師及粉絲
    團經營工作，月收入約新臺幣4至5萬元、高中肄業之教育程
    度，未婚，有未成年子女1名，惟由其生母撫養等個人狀況
    （參本院訴字卷二第83頁），量處有期徒刑5年，以示懲儆
    。",0,0,0,0,1,0,1,0
101,第221條第1項,11508221a3,"僅因一時氣憤，即以毆打、迫使喝酒等強
    暴方式，接續為前述強制性交之行為，",0,0,0,0,1,0,1,0
102,第221條第1項,11508221a3,其犯後猶飾詞否認，未見悔意，態度非佳；,1,0,0,0,0,0,0,1
103,第221條第1項,11508221a3," 爰審酌被告與A女曾為男女朋友，自有相當情誼，卻未尊重
    Ａ女之性自主權，",0,0,0,0,1,0,1,0
104,第221條第1項,11508221a3,"造成A女身心受創，
    所為實值非難；",0,0,1,0,0,0,0,1
105,第221條第1項,1223555158,"被告竟不思理性
        、平和處理雙方感情，未尊重被害人之性自主權，竟對
        被害人為本案犯行，行為實無可取，",0,0,0,0,1,0,0,1
106,第221條第1項,1223555158,"業如前述，暨其於犯罪後，在審理時坦認
        犯行，態度良好等一切情狀，量處如主文所示之刑，以
        示懲儆。",1,0,0,0,0,1,0,0
107,第221條第1項,1223555158,爰審酌被告與被害人乙女前曾為夫妻,0,0,0,0,1,0,1,0
108,第221條第1項,1223555158,"惟考量被告已取得
        被害人之原諒，並與被害人成立調解，且給付調解承諾
        之全部賠償，",0,0,1,0,0,1,0,0
109,第221條第1項,132404cc1b,"兼衡被告
      其犯罪之動機、手段、情節，及其自述目前從事舞蹈補習
      班的舞蹈老師兼職按摩，月收入約新臺幣2 至3 萬元，家
      中有太太及未成年子女2 人等一切情狀，量處如主文所示
      之刑。",0,0,0,0,1,0,1,0
110,第221條第1項,132404cc1b,且被告犯後仍矢口否認犯行，,1,0,0,0,0,0,0,1
111,第221條第1項,132404cc1b,"爰以行為人之責任為基礎，審酌被告身為A 女之師長，理
      應謹慎自持，竟利用對A 女為全身油壓按摩之機會對A 女
      為妨害性自主犯行，造成A 女身心嚴重受創，",0,0,0,0,1,0,0,1
112,第221條第1項,132404cc1b,"亦破壞A 女對人際關係及師長之信賴，嚴
      重折損為人師表之形象。",0,0,0,0,1,0,0,1
113,第221條第1項,132404cc1b,"未
      能與A 女達成和解或賠償損害，所為實有不當。",0,0,1,0,0,0,0,1
114,第221條第1項,13358a47a5,"兼衡被告自述為高職畢業之智識程度、目
    前從事保全，尚有父母親、弟弟、未成年子女待扶養之智識
    程度、生活狀況等一切情狀，量處如主文所示之刑，以示懲
    儆。",0,0,0,0,1,0,1,0
115,第221條第1項,13358a47a5,"被告原有正當
    工作，收入屬社會經濟中等階層之人，與告訴人甲女為同事
    關係，未曾交往，為逞個人私慾，竟於新竹科學園區空曠處
    所，公然對甫出社會、未曾為性行為之告訴人甲女為強制性
    交行為，對社會治安有重大危害，亦致告訴人甲女身心健康
    受有極為嚴重之損害，",0,0,0,0,1,0,0,1
116,第221條第1項,13358a47a5,"被告犯後未能反省自身行為，反而
    誣指告訴人係為賺取金錢自願為性交換云云，對告訴人身、
    心造成二次創傷，道德觀念薄弱，對國家法秩序之敵對意識
    明確，有待矯治，",1,0,0,0,0,0,0,1
117,第221條第1項,13358a47a5,"，經告訴人甲女於本院審理中表示：「
    對於這件事情我很害怕（哭泣）。這件事情我不敢跟爸爸講
    ，我只跟姑姑講，我姑姑也很傷心這件事情（哽咽），每天
    都要為這件事情擔憂。",0,1,0,0,0,0,0,1
118,第221條第1項,13358a47a5,"核被告所為，係犯刑法第221 條第1 項強制性交罪。爰審酌
    被告於本案前，並無其他經法院判處罪刑之前科，有台灣高
    等法院被告前案紀錄表1 份在卷，素行良好。",0,0,0,1,0,1,0,0
119,第221條第1項,13a16f35a4,"及其犯罪之動機、目的、手
      段、暨其品行、智識程度、生活狀況等一切情狀，量處如
      主文所示之刑。",0,0,0,0,1,0,1,0
120,第221條第1項,13a16f35a4,"酌被告明知A 女於案發時為14歲以上未滿18歲之少年，
      對於性行為之智識及自主能力尚未臻至成熟，竟為滿足自
      身性慾，對A 女為如上強制性交犯行，",0,0,0,0,1,0,0,1
121,第221條第1項,13a16f35a4,"妨害A 女之性自主
      決定權，使A 女受有深創，實屬不該。",0,1,0,0,0,0,0,1
122,第221條第1項,13a16f35a4,"兼衡其與A 女父母
      （A 女之父之真實姓名年籍資料詳卷）於本院達成和解後
      又即悔稱無法履行，嗣A 女之父到院表示，不再相信其承
      諾，請本院依法處理之意見（本院侵訴字卷第89至92頁、
      第101 頁反面至第102 頁），",0,0,1,0,0,0,0,1
123,第221條第1項,13e4826921,"且被告為餐廳主廚，有上開查
    訪表在卷可查，其有正當工作，對於社會非無貢獻，",0,0,0,0,1,0,1,0
124,第221條第1項,13e4826921,"參以被
    告於本案後因重鬱症多次至精神科就診，有馬偕紀念醫院乙
    種診斷證明書1 份在卷可按（本院卷第56頁），顯見被告於
    案發後甚為懊悔，精神壓力頗大，",0,0,0,0,1,0,1,0
125,第221條第1項,13e4826921,"並於偵查、本院審理時均
    坦白承認犯行，多次表示悔過之意（偵卷【不公開】第6 頁
    反面，本院卷51至52頁、第78頁反面）",1,0,0,0,0,1,0,0
126,第221條第1項,13e4826921,又深具悔悟之心，,1,0,0,0,0,1,0,0
127,第221條第1項,13e4826921,"A 女與被告於106 年8 月30日和解成立，被告已履行和解條
    件，A 女並於偵查中具狀表示撤回告訴並願意原諒被告等情
    ，有和解書1 份、A 女之刑事陳報狀1 份（偵卷【不公開】
    第58至61頁）在卷可憑，是被告有彌補A 女損害之具體事實
    ，犯後態度良好，",1,0,0,0,0,1,0,0
128,第221條第1項,13e4826921,"本案被告係以手指侵入A 女之陰道，且於已強制壓制A 女之
    情形下，並未以性器進入A 女性器以逞獸慾，情節較典型以
    性器侵入他人性器之情形為輕。",0,1,0,0,0,1,0,0
129,第221條第1項,13e4826921,"又被告於性侵過程中，未對
    A 女施以毆打等暴力行為，且依監視器畫面，其進出案發現
    場時間間隔約3 分7 秒（偵卷【不公開】第29頁），是其應
    於A 女反抗後不久即逃離現場，尚非逞凶鬥狠之徒，惡性非
    重。",0,1,0,0,0,1,0,0
130,第221條第1項,13e4826921,".再查被告並無任何刑事前科紀錄，有臺灣高等法院被告前案
    紀錄表在卷可查，素行良好，",0,0,0,1,0,1,0,0
131,第221條第1項,13e4826921,是被告素行良好,0,0,0,1,0,1,0,0
132,第221條第1項,13e4826921,"A 女與被告於106 年8 月30日和解成立，被告已履行和解條
    件，A 女並於偵查中具狀表示撤回告訴並願意原諒被告等情
    ，有和解書1 份、A 女之刑事陳報狀1 份（偵卷【不公開】
    第58至61頁）在卷可憑",0,0,1,0,0,1,0,0
133,第221條第1項,13e4826921,"而本案被害人A 女為成年女性，其向本院
    表示願意原諒被告，本院自當尊重A 女想法且審慎考慮。",0,0,1,0,0,1,0,0
134,第221條第1項,142a624582,"羈押前擔
    任臨時工，日薪新臺幣1,000 至1,200 元，教育程度為國中
    肄業，父親早逝，家中有年老、罹病的母親（參本院卷第14
    3 頁被告母親之澄清醫院中港分院診斷證明書1 紙），2 個
    姐姐均已出嫁之家庭狀況，暨其犯罪之動機、目的、手段等
    一切情狀，",0,0,0,0,1,0,1,0
135,第221條第1項,142a624582,"；復考量被告於案發
    後一開始於警詢時未坦承犯行，多表示「不記得」、「沒有
    這回事」，",1,0,0,0,0,0,0,1
136,第221條第1項,142a624582,"且甲女當時未滿18歲，身心發展
    均非成熟，衡以甲女之母親到庭表示：甲女剛開始怕被告去
    找她，目前也不想看到被告等語，被告所為已對甲女生理及
    心理健康造成一定影響，應予譴責非難",0,1,0,0,0,0,0,1
137,第221條第1項,142a624582,爰審酌被告與甲女於案發當時為網友關係,0,0,0,0,1,0,1,0
138,第221條第1項,142a624582,"兼衡被告前有竊盜前科之素行，有其臺灣
    高等法院被告前案紀錄表1 紙在卷可證",0,0,0,1,0,0,0,1
139,第221條第1項,14b3be0a6c,"及被告於本院
    審理中供承之智識程度與家庭經濟狀況（見本院卷第79頁）
    等一切情狀，",0,0,0,0,1,0,1,0
140,第221條第1項,14b3be0a6c,"爰審酌被告行為時年僅25歲，年輕氣盛、血氣方剛，酒後未
    思克制性慾之衝動，為滿足一己私慾，竟對告訴人為上開強
    制性交犯行，",0,0,0,0,1,0,1,0
141,第221條第1項,14b3be0a6c,本次犯罪之動機、目的、,0,0,0,0,1,0,1,0
142,第221條第1項,14b3be0a6c,惟念被告犯後始終坦承犯行，,1,0,0,0,0,1,0,0
143,第221條第1項,14b3be0a6c,"嚴重侵害告訴人性行為與否之自主權，更令告
    訴人因此遭受身心靈相當程度之傷害，並造成甲女家庭紛擾
    ，所生危害非輕，",0,1,0,0,0,0,0,1
144,第221條第1項,14b3be0a6c,"、與告訴人間之關係
    （被告與告訴人之夫乙男長期有密切來往），",0,0,0,0,1,0,1,0
145,第221條第1項,14b3be0a6c,"兼衡被告前無
    犯罪紀錄之素行（有臺灣高等法院被告前案紀錄表1 份在卷
    可憑），",0,0,0,1,0,1,0,0
146,第221條第1項,14b3be0a6c,"並於偵查中
    即與告訴人達成和解並賠償部分損害之態度，",0,0,1,0,0,1,0,0
147,第221條第1項,14b3be0a6c,"併審酌告訴人同意給予被告自新機會之刑度意
    見及檢察官之求刑意見（見本院卷第19、67、80頁），量處
    如主文所示之刑，以示懲儆。",0,0,1,0,0,1,0,0
